Humidity,Temperature,Time
59,24,12/09/2019 19:29:30
60,24,12/09/2019 19:29:41
60,24,12/09/2019 19:29:51
60,24,12/09/2019 19:30:01
60,24,12/09/2019 19:30:11
60,24,12/09/2019 19:30:21
60,24,12/09/2019 19:30:31
61,24,12/09/2019 19:30:43
60,24,12/09/2019 19:30:54
60,24,12/09/2019 19:31:04
61,24,12/09/2019 19:31:15
61,24,12/09/2019 19:31:26
61,24,12/09/2019 19:31:36
61,24,12/09/2019 19:31:47
61,24,12/09/2019 19:31:57
61,24,12/09/2019 19:32:07
61,24,12/09/2019 19:32:17
61,24,12/09/2019 19:32:27
61,24,12/09/2019 19:32:37
61,24,12/09/2019 19:32:47
61,24,12/09/2019 19:32:57
61,24,12/09/2019 19:33:08
61,24,12/09/2019 19:33:20
61,24,12/09/2019 19:33:30
61,24,12/09/2019 19:33:40
61,24,12/09/2019 19:33:50
61,24,12/09/2019 19:34:01
61,24,12/09/2019 19:34:11
61,24,12/09/2019 19:34:21
61,24,12/09/2019 19:34:31
61,24,12/09/2019 19:34:41
61,24,12/09/2019 19:34:51
60,24,12/09/2019 19:35:02
60,24,12/09/2019 19:35:12
60,24,12/09/2019 19:35:23
60,24,12/09/2019 19:35:33
61,24,12/09/2019 19:35:44
61,24,12/09/2019 19:35:55
61,24,12/09/2019 19:36:05
61,24,12/09/2019 19:36:17
61,24,12/09/2019 19:36:27
61,24,12/09/2019 19:36:37
61,24,12/09/2019 19:36:48
61,24,12/09/2019 19:36:58
61,24,12/09/2019 19:37:08
61,24,12/09/2019 19:37:20
61,24,12/09/2019 19:37:31
61,24,12/09/2019 19:37:41
61,24,12/09/2019 19:37:51
61,24,12/09/2019 19:38:01
61,24,12/09/2019 19:38:11
61,24,12/09/2019 19:38:21
61,24,12/09/2019 19:38:31
61,24,12/09/2019 19:38:41
61,24,12/09/2019 19:38:51
61,24,12/09/2019 19:39:02
61,24,12/09/2019 19:39:12
61,24,12/09/2019 19:39:22
61,24,12/09/2019 19:39:32
61,24,12/09/2019 19:39:42
61,24,12/09/2019 19:39:52
61,24,12/09/2019 19:40:02
61,24,12/09/2019 19:40:12
61,24,12/09/2019 19:40:22
61,24,12/09/2019 19:40:32
61,24,12/09/2019 19:40:42
61,24,12/09/2019 19:40:54
61,24,12/09/2019 19:41:04
61,24,12/09/2019 19:41:15
61,24,12/09/2019 19:41:25
62,24,12/09/2019 19:41:36
62,24,12/09/2019 19:41:46
62,24,12/09/2019 19:41:56
61,24,12/09/2019 19:42:06
61,24,12/09/2019 19:42:17
61,24,12/09/2019 19:42:28
61,24,12/09/2019 19:42:38
61,24,12/09/2019 19:42:49
61,24,12/09/2019 19:42:59
62,24,12/09/2019 19:43:09
62,24,12/09/2019 19:43:19
62,24,12/09/2019 19:43:29
62,24,12/09/2019 19:43:40
61,24,12/09/2019 19:43:51
62,24,12/09/2019 19:44:02
62,24,12/09/2019 19:44:12
62,24,12/09/2019 19:44:22
61,24,12/09/2019 19:44:32
61,24,12/09/2019 19:44:42
61,24,12/09/2019 19:44:52
61,24,12/09/2019 19:45:04
61,24,12/09/2019 19:45:14
61,24,12/09/2019 19:45:25
61,24,12/09/2019 19:45:36
61,24,12/09/2019 19:45:46
62,24,12/09/2019 19:45:57
62,24,12/09/2019 19:46:08
62,24,12/09/2019 19:46:19
62,24,12/09/2019 19:46:29
62,24,12/09/2019 19:46:39
61,24,12/09/2019 19:46:49
61,24,12/09/2019 19:46:59
61,24,12/09/2019 19:47:10
61,24,12/09/2019 19:47:20
61,24,12/09/2019 19:47:30
61,24,12/09/2019 19:47:41
62,24,12/09/2019 19:47:51
62,24,12/09/2019 19:48:01
62,24,12/09/2019 19:48:12
62,24,12/09/2019 19:48:22
61,24,12/09/2019 19:48:32
62,24,12/09/2019 19:48:42
62,24,12/09/2019 19:48:52
62,24,12/09/2019 19:49:02
62,24,12/09/2019 19:49:12
62,24,12/09/2019 19:49:24
62,24,12/09/2019 19:49:34
62,24,12/09/2019 19:49:44
61,24,12/09/2019 19:49:54
61,24,12/09/2019 19:50:04
61,24,12/09/2019 19:50:14
61,24,12/09/2019 19:50:27
61,24,12/09/2019 19:50:37
62,24,12/09/2019 19:50:47
62,24,12/09/2019 19:50:57
62,24,12/09/2019 19:51:07
62,24,12/09/2019 19:51:17
62,24,12/09/2019 19:51:27
62,24,12/09/2019 19:51:37
62,24,12/09/2019 19:51:48
62,24,12/09/2019 19:51:58
62,24,12/09/2019 19:52:10
62,24,12/09/2019 19:52:20
62,24,12/09/2019 19:52:30
62,24,12/09/2019 19:52:40
62,24,12/09/2019 19:52:50
62,24,12/09/2019 19:53:01
62,24,12/09/2019 19:53:11
62,24,12/09/2019 19:53:23
62,24,12/09/2019 19:53:33
62,24,12/09/2019 19:53:43
62,24,12/09/2019 19:53:53
62,24,12/09/2019 19:54:03
62,24,12/09/2019 19:54:13
62,24,12/09/2019 19:54:23
62,24,12/09/2019 19:54:34
62,24,12/09/2019 19:54:44
62,24,12/09/2019 19:54:54
62,24,12/09/2019 19:55:05
62,24,12/09/2019 19:55:15
62,24,12/09/2019 19:55:26
62,24,12/09/2019 19:55:36
62,24,12/09/2019 19:55:47
61,24,12/09/2019 19:55:57
62,24,12/09/2019 19:56:07
62,24,12/09/2019 19:56:17
62,24,12/09/2019 19:56:30
62,24,12/09/2019 19:56:41
62,24,12/09/2019 19:56:51
61,24,12/09/2019 19:57:01
62,24,12/09/2019 19:57:11
62,24,12/09/2019 19:57:21
62,24,12/09/2019 19:57:31
62,24,12/09/2019 19:57:41
62,24,12/09/2019 19:57:52
62,24,12/09/2019 19:58:02
62,24,12/09/2019 19:58:12
62,24,12/09/2019 19:58:23
62,24,12/09/2019 19:58:34
62,24,12/09/2019 19:58:44
62,24,12/09/2019 19:58:54
62,24,12/09/2019 19:59:04
62,24,12/09/2019 19:59:15
62,24,12/09/2019 19:59:25
61,24,12/09/2019 19:59:35
62,24,12/09/2019 19:59:45
62,23,12/09/2019 19:59:55
62,23,12/09/2019 20:00:05
62,23,12/09/2019 20:00:16
62,23,12/09/2019 20:00:26
62,23,12/09/2019 20:00:38
62,23,12/09/2019 20:00:48
62,23,12/09/2019 20:00:58
62,23,12/09/2019 20:01:09
62,23,12/09/2019 20:01:19
62,23,12/09/2019 20:01:29
62,23,12/09/2019 20:01:39
62,23,12/09/2019 20:01:49
62,23,12/09/2019 20:01:59
62,23,12/09/2019 20:02:09
62,23,12/09/2019 20:02:20
62,23,12/09/2019 20:02:30
62,23,12/09/2019 20:02:40
62,23,12/09/2019 20:02:50
62,23,12/09/2019 20:03:00
62,23,12/09/2019 20:03:10
62,23,12/09/2019 20:03:21
62,23,12/09/2019 20:03:31
62,23,12/09/2019 20:03:42
62,23,12/09/2019 20:03:53
62,23,12/09/2019 20:04:04
62,23,12/09/2019 20:04:14
62,23,12/09/2019 20:04:25
62,23,12/09/2019 20:04:35
62,23,12/09/2019 20:04:46
61,23,12/09/2019 20:04:57
62,23,12/09/2019 20:05:07
62,23,12/09/2019 20:05:17
62,23,12/09/2019 20:05:27
62,23,12/09/2019 20:05:37
62,23,12/09/2019 20:05:47
62,23,12/09/2019 20:05:57
62,23,12/09/2019 20:06:07
62,23,12/09/2019 20:06:17
62,23,12/09/2019 20:06:27
62,23,12/09/2019 20:06:37
62,23,12/09/2019 20:06:47
62,23,12/09/2019 20:06:58
62,23,12/09/2019 20:07:08
62,23,12/09/2019 20:07:18
61,23,12/09/2019 20:07:29
61,23,12/09/2019 20:07:39
62,23,12/09/2019 20:07:50
61,23,12/09/2019 20:08:00
62,23,12/09/2019 20:08:10
61,23,12/09/2019 20:08:22
61,23,12/09/2019 20:08:32
62,23,12/09/2019 20:08:42
62,23,12/09/2019 20:08:52
62,23,12/09/2019 20:09:02
61,23,12/09/2019 20:09:13
61,23,12/09/2019 20:09:23
61,23,12/09/2019 20:09:33
61,23,12/09/2019 20:09:43
61,23,12/09/2019 20:09:55
61,23,12/09/2019 20:10:05
61,23,12/09/2019 20:10:16
62,23,12/09/2019 20:10:27
61,23,12/09/2019 20:10:37
61,23,12/09/2019 20:10:49
61,23,12/09/2019 20:10:59
61,23,12/09/2019 20:11:09
62,23,12/09/2019 20:11:20
62,23,12/09/2019 20:11:30
62,23,12/09/2019 20:11:40
62,23,12/09/2019 20:11:50
62,23,12/09/2019 20:12:00
62,23,12/09/2019 20:12:10
62,23,12/09/2019 20:12:22
62,23,12/09/2019 20:12:33
62,23,12/09/2019 20:12:44
62,23,12/09/2019 20:12:54
62,23,12/09/2019 20:13:05
62,23,12/09/2019 20:13:15
62,23,12/09/2019 20:13:27
62,23,12/09/2019 20:13:37
62,23,12/09/2019 20:13:47
62,23,12/09/2019 20:13:57
62,23,12/09/2019 20:14:07
62,23,12/09/2019 20:14:17
62,23,12/09/2019 20:14:27
62,23,12/09/2019 20:14:37
62,23,12/09/2019 20:14:47
62,23,12/09/2019 20:14:59
62,23,12/09/2019 20:15:09
62,23,12/09/2019 20:15:19
62,23,12/09/2019 20:15:30
62,23,12/09/2019 20:15:40
62,23,12/09/2019 20:15:50
62,23,12/09/2019 20:16:00
62,23,12/09/2019 20:16:10
62,23,12/09/2019 20:16:20
62,23,12/09/2019 20:16:30
62,23,12/09/2019 20:16:41
62,23,12/09/2019 20:16:52
62,23,12/09/2019 20:17:02
62,23,12/09/2019 20:17:12
62,23,12/09/2019 20:17:23
62,23,12/09/2019 20:17:33
62,23,12/09/2019 20:17:43
62,23,12/09/2019 20:17:53
62,23,12/09/2019 20:18:04
62,23,12/09/2019 20:18:14
62,23,12/09/2019 20:18:24
62,23,12/09/2019 20:18:35
62,23,12/09/2019 20:18:45
62,23,12/09/2019 20:18:55
62,23,12/09/2019 20:19:05
62,23,12/09/2019 20:19:16
62,23,12/09/2019 20:19:27
62,23,12/09/2019 20:19:38
62,23,12/09/2019 20:19:48
62,23,12/09/2019 20:19:58
62,23,12/09/2019 20:20:08
62,23,12/09/2019 20:20:18
62,23,12/09/2019 20:20:29
62,23,12/09/2019 20:20:39
62,23,12/09/2019 20:20:49
62,23,12/09/2019 20:21:00
62,23,12/09/2019 20:21:10
62,23,12/09/2019 20:21:20
62,23,12/09/2019 20:21:31
62,23,12/09/2019 20:21:41
62,23,12/09/2019 20:21:52
62,23,12/09/2019 20:22:02
62,23,12/09/2019 20:22:12
62,23,12/09/2019 20:22:23
62,23,12/09/2019 20:22:33
62,23,12/09/2019 20:22:45
62,23,12/09/2019 20:22:56
62,23,12/09/2019 20:23:06
62,23,12/09/2019 20:23:16
62,23,12/09/2019 20:23:28
62,23,12/09/2019 20:23:39
62,23,12/09/2019 20:23:49
62,23,12/09/2019 20:23:59
62,23,12/09/2019 20:24:09
62,23,12/09/2019 20:24:19
62,23,12/09/2019 20:24:29
62,23,12/09/2019 20:24:40
62,23,12/09/2019 20:24:51
62,23,12/09/2019 20:25:02
62,23,12/09/2019 20:25:12
62,23,12/09/2019 20:25:22
62,23,12/09/2019 20:25:33
62,23,12/09/2019 20:25:44
62,23,12/09/2019 20:25:54
62,23,12/09/2019 20:26:06
62,23,12/09/2019 20:26:16
62,23,12/09/2019 20:26:27
62,23,12/09/2019 20:26:37
62,23,12/09/2019 20:26:48
62,23,12/09/2019 20:26:58
62,23,12/09/2019 20:27:10
62,23,12/09/2019 20:27:20
62,23,12/09/2019 20:27:31
62,23,12/09/2019 20:27:41
62,23,12/09/2019 20:27:52
62,23,12/09/2019 20:28:02
62,23,12/09/2019 20:28:12
62,23,12/09/2019 20:28:23
62,23,12/09/2019 20:28:33
62,23,12/09/2019 20:28:44
62,23,12/09/2019 20:28:54
62,23,12/09/2019 20:29:05
62,23,12/09/2019 20:29:15
62,23,12/09/2019 20:29:25
62,23,12/09/2019 20:29:35
62,23,12/09/2019 20:29:45
62,23,12/09/2019 20:29:56
62,23,12/09/2019 20:30:06
62,23,12/09/2019 20:30:16
62,23,12/09/2019 20:30:27
62,23,12/09/2019 20:30:37
62,23,12/09/2019 20:30:47
62,24,12/09/2019 20:30:58
62,24,12/09/2019 20:31:08
62,24,12/09/2019 20:31:20
62,24,12/09/2019 20:31:31
62,24,12/09/2019 20:31:41
62,24,12/09/2019 20:31:51
62,24,12/09/2019 20:32:01
62,24,12/09/2019 20:32:11
62,24,12/09/2019 20:32:21
62,24,12/09/2019 20:32:33
62,24,12/09/2019 20:32:44
62,24,12/09/2019 20:32:54
62,24,12/09/2019 20:33:04
62,24,12/09/2019 20:33:14
62,24,12/09/2019 20:33:24
62,24,12/09/2019 20:33:34
62,24,12/09/2019 20:33:44
62,24,12/09/2019 20:33:54
62,24,12/09/2019 20:34:04
62,24,12/09/2019 20:34:15
62,24,12/09/2019 20:34:26
62,24,12/09/2019 20:34:36
62,24,12/09/2019 20:34:46
62,24,12/09/2019 20:34:56
62,24,12/09/2019 20:35:06
63,24,12/09/2019 20:35:17
62,24,12/09/2019 20:35:27
63,24,12/09/2019 20:35:39
62,24,12/09/2019 20:35:49
63,24,12/09/2019 20:36:00
63,24,12/09/2019 20:36:10
63,24,12/09/2019 20:36:21
63,24,12/09/2019 20:36:31
63,24,12/09/2019 20:36:41
63,24,12/09/2019 20:36:52
63,24,12/09/2019 20:37:02
63,24,12/09/2019 20:37:12
63,24,12/09/2019 20:37:23
63,24,12/09/2019 20:37:34
63,24,12/09/2019 20:37:44
63,24,12/09/2019 20:37:54
63,24,12/09/2019 20:38:04
64,24,12/09/2019 20:38:14
64,24,12/09/2019 20:38:25
64,24,12/09/2019 20:38:36
63,24,12/09/2019 20:38:46
63,24,12/09/2019 20:38:56
63,24,12/09/2019 20:39:06
64,24,12/09/2019 20:39:16
64,24,12/09/2019 20:39:26
64,24,12/09/2019 20:39:36
64,24,12/09/2019 20:39:46
64,24,12/09/2019 20:39:56
64,24,12/09/2019 20:40:07
64,24,12/09/2019 20:40:17
64,24,12/09/2019 20:40:27
64,24,12/09/2019 20:40:37
65,24,12/09/2019 20:40:48
65,24,12/09/2019 20:40:58
65,24,12/09/2019 20:41:08
65,24,12/09/2019 20:41:18
66,24,12/09/2019 20:41:28
65,24,12/09/2019 20:41:38
65,24,12/09/2019 20:41:49
65,24,12/09/2019 20:41:59
66,24,12/09/2019 20:42:10
66,24,12/09/2019 20:42:20
66,24,12/09/2019 20:42:31
66,24,12/09/2019 20:42:41
66,24,12/09/2019 20:42:53
66,24,12/09/2019 20:43:04
66,24,12/09/2019 20:43:14
66,24,12/09/2019 20:43:24
66,24,12/09/2019 20:43:34
66,24,12/09/2019 20:43:44
66,24,12/09/2019 20:43:54
66,24,12/09/2019 20:44:05
66,24,12/09/2019 20:44:15
66,24,12/09/2019 20:44:26
66,24,12/09/2019 20:44:36
67,24,12/09/2019 20:44:47
67,24,12/09/2019 20:44:57
67,24,12/09/2019 20:45:08
67,24,12/09/2019 20:45:18
67,24,12/09/2019 20:45:29
67,24,12/09/2019 20:45:41
66,24,12/09/2019 20:45:51
67,24,12/09/2019 20:46:01
67,24,12/09/2019 20:46:11
67,24,12/09/2019 20:46:22
67,24,12/09/2019 20:46:33
67,24,12/09/2019 20:46:43
67,24,12/09/2019 20:46:54
67,24,12/09/2019 20:47:04
67,24,12/09/2019 20:47:14
67,24,12/09/2019 20:47:25
67,24,12/09/2019 20:47:35
67,24,12/09/2019 20:47:46
67,24,12/09/2019 20:47:56
67,24,12/09/2019 20:48:06
67,24,12/09/2019 20:48:17
67,24,12/09/2019 20:48:27
67,24,12/09/2019 20:48:37
67,24,12/09/2019 20:48:48
67,24,12/09/2019 20:48:58
67,24,12/09/2019 20:49:09
67,24,12/09/2019 20:49:20
67,24,12/09/2019 20:49:31
67,24,12/09/2019 20:49:42
67,24,12/09/2019 20:49:52
67,24,12/09/2019 20:50:02
66,24,12/09/2019 20:50:12
66,24,12/09/2019 20:50:22
66,24,12/09/2019 20:50:33
66,24,12/09/2019 20:50:43
66,24,12/09/2019 20:50:55
66,24,12/09/2019 20:51:05
66,24,12/09/2019 20:51:16
66,24,12/09/2019 20:51:26
66,24,12/09/2019 20:51:36
66,24,12/09/2019 20:51:46
66,24,12/09/2019 20:51:56
66,24,12/09/2019 20:52:08
66,24,12/09/2019 20:52:18
66,24,12/09/2019 20:52:28
66,24,12/09/2019 20:52:38
66,24,12/09/2019 20:52:48
66,24,12/09/2019 20:52:58
66,24,12/09/2019 20:53:08
66,24,12/09/2019 20:53:18
66,24,12/09/2019 20:53:28
66,24,12/09/2019 20:53:38
65,24,12/09/2019 20:53:48
66,24,12/09/2019 20:54:00
65,24,12/09/2019 20:54:10
66,24,12/09/2019 20:54:21
65,24,12/09/2019 20:54:31
65,24,12/09/2019 20:54:42
65,24,12/09/2019 20:54:53
66,24,12/09/2019 20:55:04
66,24,12/09/2019 20:55:15
66,24,12/09/2019 20:55:25
66,24,12/09/2019 20:55:36
65,24,12/09/2019 20:55:47
65,24,12/09/2019 20:55:57
66,24,12/09/2019 20:56:09
65,24,12/09/2019 20:56:19
66,24,12/09/2019 20:56:30
66,24,12/09/2019 20:56:40
65,24,12/09/2019 20:56:50
65,24,12/09/2019 20:57:00
66,24,12/09/2019 20:57:11
65,24,12/09/2019 20:57:21
66,24,12/09/2019 20:57:32
66,24,12/09/2019 20:57:43
66,24,12/09/2019 20:57:53
66,24,12/09/2019 20:58:03
66,24,12/09/2019 20:58:13
66,24,12/09/2019 20:58:23
66,24,12/09/2019 20:58:33
66,24,12/09/2019 20:58:43
66,24,12/09/2019 20:58:53
66,24,12/09/2019 20:59:03
66,24,12/09/2019 20:59:14
66,24,12/09/2019 20:59:24
66,24,12/09/2019 20:59:35
66,24,12/09/2019 20:59:45
66,24,12/09/2019 20:59:55
66,24,12/09/2019 21:00:05
66,24,12/09/2019 21:00:16
66,24,12/09/2019 21:00:26
66,24,12/09/2019 21:00:38
66,24,12/09/2019 21:00:48
66,24,12/09/2019 21:00:59
